Source,Target
d_OnlyMe__,cocochriz
Ndons_Back,RadioElshinta
yoonajah,tempedotc0
trisyaadina,DivHumas_Polri
rymndadnn,DivHumas_Polri
bagas_adjie4,DivHumas_Polri
emaaameliaa,DivHumas_Polri
ayunda_nisha,DivHumas_Polri
Kanzia_92,tempodotco
Muhamadalibaim,Qu3en_Bakery
syahslyrauf,akuhanyaaku24
ujanghanto13,bpsdmkemendesa
DediKur24734119,bpsdmkemendesa
dianoztra,tempodotco
maxsendy,zalkad
Iksan_zeto1701,bpsdmkemendesa
iwan_170314,bpsdmkemendesa
bidhumas_jatim,divisihumaspolri
hardieyzzz,YandriSusanto
hardieyzzz,ARizaPatria
hardieyzzz,KemensetnegRI
tempedotc0,GWirjawan
tempedotc0,aniesbaswedan
tempedotc0,ganjarpranowo
tempedotc0,mohmahfudmd
YasintusAriman,YouTube
bukamata18,KejaksaanRI
abangdapane,YandriSusanto
abangdapane,KemensetnegRI
abangdapane,bpsdmkemendesa
abangdapane,kemendespdt
abangdapane,bpikemendes
bukamata18,prabowo
dewiwnggita1,indepenSumatera
sanddybhudi,prabowo
only_saint_love,Adiyatmaari
only_saint_love,klobotmerah
only_saint_love,txtharihariWNI
kkungdensim,ARSIPAJA
MirfanUnknown03,txtdrimedia
TppBabar2024,YandriSusanto
TppBabar2024,ARizaPatria
TppBabar2024,KemensetnegRI
arifanisa13,indepenSumatera
avantegold,yoga_nugraha88
avantegold,LambeSahamjja
charlessiahaan,prabowo
Faraz_kepri,P0113R
andriisanjaya,Mdy_Asmara1701
Ine_cappuccino,gustiayutp
nurhudang,indepenSumatera
txtrakyat,kompascom
fsaidhamzah,satriohendri
fsaidhamzah,YouTube
jeevierhugword,croixsanct
jeevierhugword,UNICEF
pppidag,KangManto123
fendiandol5,Jelli_cent
fendiandol5,Hidupsebagai62
fendiandol5,bakuldimsum_
fendiandol5,ardisatriawan
fendiandol5,Jakartalk
Saturnsssssss,an_asku
Saturnsssssss,bluesvyerlinn
Saturnsssssss,pabalataq
Saturnsssssss,dustina1k
Saturnsssssss,croixsanct
Saturnsssssss,UNICEF
OmBot18803320,bengkeldodo_
renanurfiana4,salam4jari
Crsurvivor77,vivhins
IkaaPark,yappingfess
MamaLemonmoh,indepenSumatera
bagus_blasius,themarszeppelin
